n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,best_BCSTDLIN,indel_rate
72,557,3.434837349668312,1.7292123252977019,0.0007741168649691012,0.08531034542538682,0.21442153469874525,2.6807875408549595,2.6326056728452403,0.11135428511854617,-40.410499037639184,37.00604880756632,21.93902876097112,7.538691186157873,7.717862766034619,1,0,0.2997318801241321
33,326,2.032389560472907,1.0609114817098924,0.011780830208182614,0.15662503052562096,0.09100214041167487,3.1695073385717,3.135018403756197,0.14603535595756517,72.27120760098794,62.795414236434354,78.0855893145119,20.710923963323363,12.45600406065946,1,0,0.24762717093729583
73,98,4.906918958592308,1.37510498797429,0.02287209092065421,0.07806431886821767,0.11626498718872266,2.551811908352902,3.250529063835301,0.11709235166642708,-4.221852967259561,6.163897278009915,4.403048147878225,-1.289012992486364,14.450940476564945,1,0,0.19432930605694032
95,383,4.525577220010956,1.7240926776477772,0.01837496861614046,0.006708652113933915,0.018177573428352793,1.3318457955614522,1.5362303730994573,0.15015075968375652,-2.210896744142505,8.377297145523155,31.45270874107093,0.0,13.983121752711408,0,1,0.024886225542286707
59,403,4.234094752420038,1.7258301402360503,0.034441662227662116,0.12011426055047801,0.1396845325475336,5.127993164927013,5.384996732693757,0.10740969712646502,6.550808840854918,21.58233490582618,5.913222247318812,3.778682041105457,9.538392386156252,1,0,0.2597987930980116
50,81,2.198209655450738,1.3022471169679548,0.001980333962498986,0.063031266691844,0.07472975218409231,4.114008779066824,5.205935379698583,0.17627279401401338,79.11039326135905,57.731082509256694,18.984897365159355,18.86097352029347,-0.01581825521383795,1,0,0.1377610188759363
29,307,1.9150106189939469,2.462980835841594,0.03051585521052783,0.09131671433458147,0.1551191886288284,4.811323938226569,6.796775570616893,0.24957843842138194,-26.8042514435125,46.30768975019494,49.52148703479039,19.75835681791062,16.666437455819214,1,0,0.24643590296340986
27,252,3.213277339329694,1.4047015863738808,0.00283394482896988,0.004583892075804399,0.19530905746869134,4.4760025198269915,5.661695617649687,0.21273459906585374,-2.840352063597822,4.8355067102199625,33.68627857443763,0.0,20.68634047164863,0,1,0.19989294954449574
55,341,2.7418602303755315,0.7089955672046595,0.03698532172521443,0.05484025101327027,0.09577161547928839,2.452008272174247,3.3552393071845565,0.17737930513792016,-10.121149840604193,64.10891292991646,6.366019041512079,22.536075394715972,1.2490994740816825,1,0,0.15061186649255867
24,28,3.9479943501019625,1.8681409031826202,0.029356139813251886,0.1079879593771622,0.2153349251356128,1.8198373585913705,2.656833522966735,0.21692025055820685,15.507558759449422,13.173053276571693,8.44994016866993,-0.465161451966072,1.3684586277258752,1,0,0.323322884512775
21,354,3.2236584725619974,1.6659584592143004,0.005580259119977003,0.08386925881829273,0.11304129174274488,5.297660103038747,6.58558986143129,0.222346063860504,-32.448875950813495,7.379093210446107,46.90963083281334,0.0,25.922103128017376,0,1,0.19691055056103762
96,178,4.009040648965916,1.8786939124585456,0.04522938575684805,0.07412275961191947,0.06889131524578383,7.057291337863592,8.473367103731908,0.06344883785778385,51.7167912942537,2.0220451948624563,5.952079136245807,-4.854763886913652,-1.3321677299998456,1,0,0.1430140748577033
67,238,4.973338726226736,2.6877017574362494,0.0021705153244287075,0.08540800875538314,0.23168396166777977,3.916835969089649,4.816787248735839,0.2770837582015011,-9.704437176020269,8.62154207191758,23.196282120764625,-0.4896540068290595,14.712920931707204,1,0,0.3170919704231629
56,390,3.906945040422109,1.5849312434416525,0.020294396589619193,0.10810038538950965,0.16854831322761327,3.816420747031968,4.830238922684717,0.17537327320474708,-6.351391142624089,14.559732003493862,36.33011114832497,2.277333783284056,14.303259905604955,1,0,0.27664869861712293
41,290,3.3687556520049804,1.2352023868358877,0.020686293605952602,0.06531904134936718,0.050550014458296086,5.955148421489899,7.411340295125994,0.14544084785789543,-4.802127585386005,9.150294784122439,58.12373630304115,0.0,21.921069252994958,0,1,0.11586905580766327
47,83,2.817661752037368,0.6732308148509276,0.0018485645353580704,0.04853450005772663,0.11916645713583171,4.112806145583302,5.653079958191589,0.24632169225505032,-14.774269888654839,17.855150016252146,38.61517978429602,3.639442133021527,14.755401814575375,1,0,0.16770095719355835
