n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,best_BCSTDLIN,best_BEXPDLIN,best_BLINDEXP,best_BEXPDCST,indel_rate
37,60,4.175226113793119,2.9786032067104253,0.04758515164986409,0.034250227409876974,0.10267961741954423,4.464390916718877,5.788335795212135,0.19102170485240486,22.667216120320546,0.6395422276120528,16.07152941159856,-7.764667642392885,13.792934260825518,1,0,0,0,0,0.13692984482942122
53,337,4.6527429351274385,1.7574733035468384,0.003710093612753318,0.04419203708113037,0.08602005951336615,4.974975343692572,5.042504860258934,0.11413290994874178,-26.098978037730404,3.9338061468450696,56.710865095329396,-6.184741517695864,24.424977815410948,1,0,0,0,0,0.1302120965944965
21,217,4.992367883358286,1.5119564864069308,0.004084243223118299,0.13340714919075808,0.1348658392033967,2.935951637385841,3.8859654863348974,0.15445818934269168,1.6328828836257974,3.2184785403277996,20.25188642344758,0.0,6.744161038129305,0,1,0,0,0,0.2682729883941548
28,73,3.551376626499392,0.846911017982681,0.05776257555584972,0.049565238647700044,0.08047451944440653,3.5639450412862335,4.618118697449201,0.22866639495320895,-33.21609706335506,21.488504832891437,12.14508485170206,-0.045849364441708694,0.5563715362670526,0,0,1,0,0,0.13003975809210658
44,163,2.400392022869917,2.2323536758567655,0.009080028580434843,0.14400642401419206,0.16935310492865566,1.015671292127451,1.3738314091470678,0.10554887583691112,54.987190051449645,75.91166693403261,101.5254770931399,22.06639625584441,20.22244597077471,1,0,0,0,0,0.3133595289428477
43,224,2.8950407270427174,1.2830682198094554,0.02005421500799002,0.07059959167115804,0.1424488562707791,3.2110231260642115,3.3500222577216467,0.30589854304218556,-15.7581938874349,72.7079895564523,87.99891282573654,21.843643844891783,29.87379391221367,1,0,0,0,0,0.21304844794193714
63,239,1.7797991014537977,2.6950216032748906,0.00829906002125762,0.0896732239894591,0.07137786139449458,1.678299357134825,1.934573258374181,0.062494642666802006,-8.217733846492404,86.82327662790304,109.38813858019674,42.6739575280183,-22.46376463203641,1,0,0,0,0,0.16105108538395368
52,115,1.8618660778829712,1.7212342062960273,0.018868919811622187,0.23558259401535972,0.11505811866171198,2.545486509395664,3.7955554697513305,0.18801280587656738,18.72910289008152,104.21134944724574,142.1931238763079,41.53448418711457,45.2360360064523,1,0,0,0,0,0.3506407126770717
93,222,5.710105812107284,1.0736553629945012,0.04399540094082719,0.09234859095610085,0.10928824022332626,6.82345152395468,11.372852642522615,0.23050757747660333,-1.4877027962912481,4.4233472809561025,18.443330474020662,0.0,3.37179041383274,0,1,0,0,0,0.2016368311794271
45,185,2.3596802674718194,1.5703922182859946,0.018052855898094005,0.10109576943993835,0.09852849175162386,3.320270810942144,3.9621043661360345,0.23979837279517807,43.492216166150904,98.28659641386885,110.87123811775686,28.208568234389844,24.193163965782162,1,0,0,0,0,0.1996242611915622
